OldField,NewField,Shown,Language,Mapping
v_ownerinstitutioncode,v_ownerinstitutioncode,,DBSCHEMA,TEXT
v_basisofrecord,v_basisofrecord,,DBSCHEMA,TEXT
v_informationwithheld,v_informationwithheld,,DBSCHEMA,TEXT
v_datageneralizations,v_datageneralizations,,DBSCHEMA,TEXT
v_dynamicproperties,v_dynamicproperties,,DBSCHEMA,TEXT
v_occurrenceid,v_occurrenceid,,DBSCHEMA,TEXT
v_catalognumber,v_catalognumber,,DBSCHEMA,TEXT
v_recordnumber,v_recordnumber,,DBSCHEMA,TEXT
v_recordedby,v_recordedby,,DBSCHEMA,TEXT
v_individualcount,v_individualcount,,DBSCHEMA,INTEGER
v_organismquantity,v_organismquantity,,DBSCHEMA,TEXT
v_organismquantitytype,v_organismquantitytype,,DBSCHEMA,TEXT
v_sex,v_sex,,DBSCHEMA,TEXT
v_lifestage,v_lifestage,,DBSCHEMA,TEXT
v_reproductivecondition,v_reproductivecondition,,DBSCHEMA,TEXT
v_behavior,v_behavior,,DBSCHEMA,TEXT
v_establishmentmeans,v_establishmentmeans,,DBSCHEMA,TEXT
v_occurrencestatus,v_occurrencestatus,,DBSCHEMA,TEXT
v_preparations,v_preparations,,DBSCHEMA,TEXT
v_disposition,v_disposition,,DBSCHEMA,TEXT
v_associatedmedia,v_associatedmedia,,DBSCHEMA,TEXT
v_associatedreferences,v_associatedreferences,,DBSCHEMA,TEXT
v_associatedsequences,v_associatedsequences,,DBSCHEMA,TEXT
v_associatedtaxa,v_associatedtaxa,,DBSCHEMA,TEXT
v_othercatalognumbers,v_othercatalognumbers,,DBSCHEMA,TEXT
v_occurrenceremarks,v_occurrenceremarks,,DBSCHEMA,TEXT
v_organismid,v_organismid,,DBSCHEMA,INTEGER
v_organismname,v_organismname,,DBSCHEMA,TEXT
v_organismscope,v_organismscope,,DBSCHEMA,TEXT
v_associatedoccurrences,v_associatedoccurrences,,DBSCHEMA,TEXT
v_associatedorganisms,v_associatedorganisms,,DBSCHEMA,TEXT
"v_previousidentifications","v_previousidentifications",,DBSCHEMA,TEXT
v_organismremarks,v_organismremarks,,DBSCHEMA,TEXT
v_materialsampleid,v_materialsampleid,,DBSCHEMA,TEXT
v_eventid,v_eventid,,DBSCHEMA,TEXT
v_parenteventid,v_parenteventid,,DBSCHEMA,TEXT
v_fieldnumber,v_fieldnumber,,DBSCHEMA,TEXT
v_eventdate,v_eventdate,,DBSCHEMA,TEXT
v_eventtime,v_eventtime,,DBSCHEMA,TEXT
v_startdayofyear,v_startdayofyear,,DBSCHEMA,INTEGER
v_enddayofyear,v_enddayofyear,,DBSCHEMA,INTEGER
v_year,v_year,,DBSCHEMA,INTEGER
v_month,v_month,,DBSCHEMA,INTEGER
v_day,v_day,,DBSCHEMA,INTEGER
v_verbatimeventdate,v_verbatimeventdate,,DBSCHEMA,TEXT
v_habitat,v_habitat,,DBSCHEMA,TEXT
v_samplingprotocol,v_samplingprotocol,,DBSCHEMA,TEXT
v_samplingeffort,v_samplingeffort,,DBSCHEMA,TEXT
v_samplesizevalue,v_samplesizevalue,,DBSCHEMA,TEXT
v_samplesizeunit,v_samplesizeunit,,DBSCHEMA,TEXT
v_fieldnotes,v_fieldnotes,,DBSCHEMA,TEXT
v_eventremarks,v_eventremarks,,DBSCHEMA,TEXT
v_locationid,v_locationid,,DBSCHEMA,INTEGER
v_highergeographyid,v_highergeographyid,,DBSCHEMA,TEXT
v_highergeography,v_highergeography,,DBSCHEMA,TEXT
v_continent,v_continent,,DBSCHEMA,TEXT
v_waterbody,v_waterbody,,DBSCHEMA,TEXT
v_islandgroup,v_islandgroup,,DBSCHEMA,TEXT
v_island,v_island,,DBSCHEMA,TEXT
v_country,v_country,,DBSCHEMA,TEXT
v_countrycode,v_countrycode,,DBSCHEMA,TEXT
v_stateprovince,v_stateprovince,,DBSCHEMA,TEXT
v_county,v_county,,DBSCHEMA,TEXT
v_municipality,v_municipality,,DBSCHEMA,TEXT
v_locality,v_locality,,DBSCHEMA,TEXT
v_verbatimlocality,v_verbatimlocality,,DBSCHEMA,TEXT
"v_minimumelevationinmeters","v_minimumelevationinmeters",,DBSCHEMA,INTEGER
"v_maximumelevationinmeters","v_maximumelevationinmeters",,DBSCHEMA,INTEGER
v_verbatimelevation,v_verbatimelevation,,DBSCHEMA,TEXT
v_minimumdepthinmeters,v_minimumdepthinmeters,,DBSCHEMA,INTEGER
v_maximumdepthinmeters,v_maximumdepthinmeters,,DBSCHEMA,INTEGER
